Coin Prices,,,,
,,,,
for_date,cmc_id,coin,price (USD),id
2022-07-09,7278,AAVE,$74.50,
2022-07-09,4030,ALGO,$0.32,
2022-07-09,8857,ANC,$0.13,
2022-07-09,3794,ATOM,$9.08,
2022-07-09,8602,AUCTION,$5.74,
2022-07-09,5805,AVAX,$19.86,0x53BA62dDD5a9A6B6d97C7a496D7832D13A9218c4
2022-07-09,1839,BNB,$242.17,0xb12c13e66ade1f72f71834f2fc5082db8c091358
2022-07-09,1,BTC,"$21,513.28",
2022-07-09,6538,CRV,$1.01,
2022-07-09,6264,DEC,$0.00,
2022-07-09,1027,ETH,"$1,213.74",
2022-07-09,3513,FTM,$0.28,0xd647090c1cdcdbb72de411b1ba16f03d4a7bba02
2022-07-09,1975,LINK,$6.42,
2022-07-09,4172,LUNA,$0.00,
2022-07-09,3890,MATIC,$0.59,
2022-07-09,7857,MIR,$0.19,
2022-07-09,3945,ONE,$0.02,
2022-07-09,12115,ORION,$0.00,
2022-07-09,12220,OSMO,$0.85,0x5530ec23f4eE1521182bd158C09F4CA7efEC1ef0
2022-07-09,1684,QTUM,$3.04,
2022-07-09,4157,RUNE,$2.36,
2022-07-09,2577,RVN,$0.02,
2022-07-09,5426,SOL,$38.21,
2022-07-09,11035,SPS,$0.05,
2022-07-09,6758,SUSHI,$1.20,
2022-07-09,7083,UNI,$6.26,
2022-07-09,52,XRP,$0.34,
2022-07-09,2011,XTZ,$1.60,
2022-07-09,10820,YLDY,$0.00,
2022-07-09,1896,ZRX,$0.33,
